Date,Open,High,Low,Close,Volume,OpenInt,Company
4/18/2007,30.867,30.867,30.867,30.867,0,0,T-Mobile
4/19/2007,33.686,37.054,32.881,36.773,23679106,0,T-Mobile
4/20/2007,36.773,38.651,36.37,38.316,4552327,0,T-Mobile
4/23/2007,38.383,38.839,37.967,38.584,2796297,0,T-Mobile
4/24/2007,38.262,39.457,38.262,39.188,2284472,0,T-Mobile
4/25/2007,39.658,39.926,38.262,38.396,1827190,0,T-Mobile
4/26/2007,39.255,39.309,36.638,37.846,953310,0,T-Mobile
4/27/2007,37.846,38.249,37.108,38.115,265487,0,T-Mobile
4/30/2007,38.222,38.866,37.578,37.645,271970,0,T-Mobile
5/1/2007,37.578,38.249,37.309,37.444,684321,0,T-Mobile
5/2/2007,37.309,38.41,37.256,37.792,638570,0,T-Mobile
5/3/2007,37.779,38.557,37.658,38.45,276590,0,T-Mobile
5/4/2007,38.611,39.054,38.128,38.651,208411,0,T-Mobile
5/7/2007,38.517,39.054,38.249,39.014,437089,0,T-Mobile
5/8/2007,39.161,39.457,38.92,39.322,386868,0,T-Mobile
5/9/2007,39.551,41.966,39.309,41.403,886398,0,T-Mobile
5/10/2007,41.403,41.403,39.9,40.812,847428,0,T-Mobile
5/11/2007,41.403,42.423,41.201,41.483,963220,0,T-Mobile
5/14/2007,42.275,42.946,41.604,42.839,583357,0,T-Mobile
5/15/2007,45.63,46.57,45.214,45.912,1825178,0,T-Mobile
5/16/2007,46.637,46.825,45.831,46.113,356988,0,T-Mobile
5/17/2007,46.234,49.227,46.221,48.851,885504,0,T-Mobile
5/18/2007,48.985,49.992,47.979,49.093,1349119,0,T-Mobile
5/21/2007,49.227,49.509,45.013,46.355,1056413,0,T-Mobile
5/22/2007,46.704,46.972,42.731,45.241,2906947,0,T-Mobile
5/23/2007,45.966,46.798,44.959,45.066,925368,0,T-Mobile
5/24/2007,45.335,46.301,45.227,45.536,894222,0,T-Mobile
5/25/2007,45.536,47.241,45.429,46.986,568678,0,T-Mobile
5/29/2007,48.502,48.502,45.026,45.496,660328,0,T-Mobile
5/30/2007,45.59,48.14,45.174,48.073,643712,0,T-Mobile
5/31/2007,48.247,49.656,47.375,47.858,809501,0,T-Mobile
6/1/2007,47.751,49.307,47.71,49.106,606008,0,T-Mobile
6/4/2007,48.891,49.227,47.173,49.227,427924,0,T-Mobile
6/5/2007,49.106,49.589,47.267,47.321,642445,0,T-Mobile
6/6/2007,46.583,46.704,44.516,45.482,973652,0,T-Mobile
6/7/2007,45.966,46.06,43.617,43.657,916285,0,T-Mobile
6/8/2007,43.885,44.288,43.107,43.684,385750,0,T-Mobile
6/11/2007,44.315,45.966,44.154,45.321,733201,0,T-Mobile
6/12/2007,44.825,45.254,43.617,44.449,865207,0,T-Mobile
6/13/2007,43.617,45.429,43.617,45.348,542747,0,T-Mobile
6/14/2007,45.63,45.858,43.698,44.194,816356,0,T-Mobile
6/15/2007,44.288,48.113,44.154,47.777,1395093,0,T-Mobile
6/18/2007,48.059,49.455,46.717,47.804,1205981,0,T-Mobile
6/19/2007,48.046,48.046,45.456,45.617,640582,0,T-Mobile
6/20/2007,45.509,45.724,43.698,43.805,892135,0,T-Mobile
6/21/2007,44.114,45.603,43.684,45.12,566889,0,T-Mobile
6/22/2007,44.785,45.63,43.993,45.402,1980834,0,T-Mobile
6/25/2007,45.321,47.039,44.879,46.972,449384,0,T-Mobile
6/26/2007,46.717,46.905,45.295,46.65,394542,0,T-Mobile
6/27/2007,46.65,47.388,45.845,46.771,421218,0,T-Mobile
6/28/2007,46.878,46.878,45.16,45.16,317869,0,T-Mobile
6/29/2007,45.187,45.737,44.087,44.342,572105,0,T-Mobile
7/2/2007,44.369,44.959,44.234,44.328,308779,0,T-Mobile
7/3/2007,44.328,46.502,44.328,46.086,267425,0,T-Mobile
7/5/2007,46.274,46.328,45.026,45.885,178382,0,T-Mobile
7/6/2007,46.1,47.241,45.845,47.2,490365,0,T-Mobile
7/9/2007,47.012,48.019,45.992,47.214,462945,0,T-Mobile
7/10/2007,46.905,48.314,46.811,47.791,294174,0,T-Mobile
7/11/2007,48.086,48.972,47.63,48.542,527174,0,T-Mobile
7/12/2007,48.677,50.596,48.677,49.871,481945,0,T-Mobile
7/13/2007,48.717,50.421,48.583,49.938,281656,0,T-Mobile
7/16/2007,50.421,52.877,49.938,51.482,559140,0,T-Mobile
7/17/2007,50.972,54.219,50.931,54.125,1125955,0,T-Mobile
7/18/2007,52.354,53.454,51.133,52.77,910167,0,T-Mobile
7/19/2007,52.985,53.709,52.542,53.079,393872,0,T-Mobile
7/20/2007,53.146,54.85,52.408,52.837,414586,0,T-Mobile
7/23/2007,53.28,54.072,51.924,52.354,287915,0,T-Mobile
