Date,Open,High,Low,Close,Volume,OpenInt,Company
1/2/1970,1.4972,1.4972,1.4893,1.4972,1459617,0,Exxon Mobile
1/5/1970,1.4972,1.5297,1.4972,1.5297,2338570,0,Exxon Mobile
1/6/1970,1.5297,1.5297,1.5055,1.5216,1531212,0,Exxon Mobile
1/7/1970,1.5216,1.5216,1.5138,1.5138,1141448,0,Exxon Mobile
1/8/1970,1.5138,1.5297,1.5055,1.5138,1336326,0,Exxon Mobile
1/9/1970,1.5138,1.5216,1.5138,1.5216,1332350,0,Exxon Mobile
1/12/1970,1.5216,1.5297,1.5138,1.5138,1109626,0,Exxon Mobile
1/13/1970,1.5138,1.5216,1.5055,1.5055,1551092,0,Exxon Mobile
1/14/1970,1.5055,1.5055,1.4972,1.5055,1650520,0,Exxon Mobile
1/15/1970,1.5055,1.5055,1.4893,1.4893,1499393,0,Exxon Mobile
1/16/1970,1.4893,1.4972,1.4893,1.4972,1368142,0,Exxon Mobile
1/19/1970,1.4972,1.4972,1.4893,1.4972,870999,0,Exxon Mobile
1/20/1970,1.4972,1.5055,1.4893,1.4893,1543139,0,Exxon Mobile
1/21/1970,1.4893,1.4972,1.4893,1.4893,1045993,0,Exxon Mobile
1/22/1970,1.4893,1.4893,1.4813,1.4813,1718132,0,Exxon Mobile
1/23/1970,1.4813,1.4813,1.4569,1.4569,2334594,0,Exxon Mobile
1/26/1970,1.4569,1.4649,1.4569,1.4649,1296558,0,Exxon Mobile
1/27/1970,1.4569,1.4569,1.4409,1.4569,2553338,0,Exxon Mobile
1/28/1970,1.4569,1.4569,1.4083,1.4083,1849381,0,Exxon Mobile
1/29/1970,1.3922,1.3922,1.3761,1.3761,1924947,0,Exxon Mobile
1/30/1970,1.3761,1.3761,1.3597,1.3678,2700493,0,Exxon Mobile
2/2/1970,1.3678,1.3678,1.3597,1.3597,3424339,0,Exxon Mobile
2/3/1970,1.3597,1.3922,1.3517,1.3841,3197638,0,Exxon Mobile
2/4/1970,1.3841,1.3841,1.3761,1.3841,2489705,0,Exxon Mobile
