Date,Open,High,Low,Close,Volume,OpenInt,Company
8/19/2004,50.0,52.03,47.98,50.17,44703800,0,Google
8/20/2004,50.505,54.54,50.25,54.155,22857200,0,Google
8/23/2004,55.375,56.74,54.525,54.7,18274400,0,Google
8/24/2004,55.62,55.8,51.785,52.435,15262600,0,Google
8/25/2004,52.48,54.0,51.94,53.0,9197800,0,Google
8/26/2004,52.475,53.975,52.33,53.955,7102000,0,Google
8/27/2004,54.05,54.31,52.845,53.075,6218000,0,Google
8/30/2004,52.64,52.745,51.005,51.005,5202000,0,Google
8/31/2004,51.15,51.855,51.08,51.185,4922800,0,Google
9/1/2004,51.35,51.485,49.835,50.125,9147400,0,Google
9/2/2004,49.595,51.185,49.47,50.755,15133800,0,Google
9/3/2004,50.475,50.87,49.66,50.005,5157600,0,Google
9/7/2004,50.505,51.0,49.805,50.79,5853400,0,Google
9/8/2004,50.37,51.515,50.25,51.15,4990600,0,Google
9/9/2004,51.265,51.355,50.5,51.155,4065800,0,Google
9/10/2004,50.8,53.28,50.65,52.665,8707600,0,Google
9/13/2004,53.315,54.205,53.23,53.75,7852000,0,Google
9/14/2004,53.725,56.0,53.395,55.745,10839800,0,Google
9/15/2004,55.28,57.115,55.1,56.0,10723800,0,Google
9/16/2004,56.17,57.9,55.825,56.985,9275600,0,Google
9/17/2004,57.21,58.745,56.775,58.745,9482000,0,Google
9/20/2004,58.475,60.8,58.385,59.68,10639400,0,Google
9/21/2004,59.905,60.21,58.755,58.92,7236000,0,Google
9/22/2004,58.7,59.835,58.405,59.19,7588800,0,Google
9/23/2004,59.42,61.315,58.51,60.41,8544200,0,Google
9/24/2004,60.47,62.05,59.88,59.915,9132600,0,Google
9/27/2004,59.78,60.44,58.9,59.13,7073200,0,Google
9/28/2004,60.65,63.7,60.105,63.43,16946000,0,Google
9/29/2004,63.35,67.51,63.115,65.54,30547000,0,Google
9/30/2004,64.95,66.15,64.5,64.8,13771800,0,Google
10/1/2004,65.4,67.12,64.45,66.29,15140000,0,Google
10/4/2004,67.625,68.435,67.015,67.53,13035800,0,Google
10/5/2004,67.33,69.265,66.12,69.185,14988200,0,Google
10/6/2004,68.775,69.225,68.0,68.54,13394800,0,Google
10/7/2004,68.46,69.94,68.275,69.425,14129200,0,Google
10/8/2004,69.36,69.84,68.51,68.865,11080600,0,Google
10/11/2004,68.5,69.43,66.925,67.63,10482600,0,Google
10/12/2004,67.22,68.805,66.7,68.7,11677200,0,Google
10/13/2004,71.66,71.775,70.04,70.45,19786000,0,Google
10/14/2004,70.505,71.19,69.28,71.0,10452600,0,Google
10/15/2004,72.465,72.75,70.975,72.055,13208000,0,Google
10/18/2004,71.6,74.6,70.605,74.58,14050400,0,Google
10/19/2004,75.25,76.2,73.675,73.97,18128000,0,Google
10/20/2004,74.015,74.495,69.8,70.245,22745400,0,Google
10/21/2004,72.2,75.065,70.81,74.69,29179000,0,Google
10/22/2004,85.27,90.085,82.04,86.215,73783800,0,Google
10/25/2004,88.2,97.215,86.275,93.7,65528400,0,Google
10/26/2004,93.17,96.32,90.0,90.9,44614200,0,Google
10/27/2004,91.36,94.76,90.885,92.985,26713000,0,Google
10/28/2004,93.34,97.195,92.8,96.65,29693600,0,Google
10/29/2004,99.445,99.98,95.3,95.32,42325000,0,Google
11/1/2004,96.775,98.835,95.635,98.015,24449800,0,Google
11/2/2004,99.39,99.62,96.67,97.435,22692600,0,Google
11/3/2004,99.09,100.8,95.375,95.835,27777400,0,Google
11/4/2004,94.22,95.2,91.675,92.35,28819200,0,Google
11/5/2004,90.99,91.15,84.275,84.675,39666200,0,Google
11/8/2004,85.465,87.72,84.7,86.275,22383600,0,Google
11/9/2004,87.05,87.6,82.635,84.35,22128400,0,Google
11/10/2004,85.335,86.26,83.165,83.93,21288000,0,Google
11/11/2004,84.565,91.875,83.785,91.51,29971000,0,Google
11/12/2004,92.615,94.9,88.7,91.0,33492200,0,Google
11/15/2004,90.225,94.16,89.375,92.435,23803000,0,Google
11/16/2004,88.75,89.735,85.415,86.27,41834800,0,Google
11/17/2004,84.51,88.75,84.5,86.25,36265800,0,Google
11/18/2004,85.145,87.21,82.865,83.77,33259200,0,Google
11/19/2004,84.55,84.99,83.26,84.7,17538600,0,Google
11/22/2004,82.235,84.75,80.655,82.55,24736400,0,Google
11/23/2004,83.985,85.415,83.25,83.76,24826600,0,Google
11/24/2004,87.41,88.605,86.255,87.38,30562000,0,Google
11/26/2004,87.9,90.015,87.66,89.695,12960200,0,Google
11/29/2004,90.18,91.475,88.755,90.525,21333200,0,Google
11/30/2004,90.355,91.5,90.125,90.99,15400000,0,Google
12/1/2004,90.975,91.25,89.775,89.98,15728200,0,Google
12/2/2004,89.95,90.755,89.275,89.7,12521800,0,Google
12/3/2004,89.975,90.53,88.8,90.2,11738400,0,Google
12/6/2004,89.565,90.35,88.01,88.145,12508000,0,Google
12/7/2004,88.0,88.1,85.275,85.715,13741800,0,Google
