Date,Open,High,Low,Close,Volume,OpenInt,Company
5/29/1986,3.6107,3.6389,3.6107,3.6295,16691365,0,Bank of America
5/30/1986,3.6107,3.6578,3.6107,3.6578,6895475,0,Bank of America
6/2/1986,3.6578,3.6768,3.6295,3.6485,333487,0,Bank of America
6/3/1986,3.6389,3.6768,3.6295,3.6768,163776,0,Bank of America
6/4/1986,3.6485,3.6768,3.6204,3.6204,203654,0,Bank of America
6/5/1986,3.6107,3.6485,3.5921,3.6485,89103,0,Bank of America
6/6/1986,3.6578,3.6768,3.6295,3.6485,389491,0,Bank of America
6/9/1986,3.6578,3.6578,3.5637,3.5729,527807,0,Bank of America
6/10/1986,3.5921,3.5921,3.5544,3.5729,150198,0,Bank of America
6/11/1986,3.5729,3.5729,3.5351,3.5544,337729,0,Bank of America
6/12/1986,3.5544,3.5544,3.4318,3.479,369975,0,Bank of America
6/13/1986,3.4978,3.5921,3.4978,3.5729,638974,0,Bank of America
6/16/1986,3.5729,3.5921,3.5544,3.5825,626245,0,Bank of America
6/17/1986,3.5637,3.6204,3.5637,3.6107,312274,0,Bank of America
6/18/1986,3.6295,3.6295,3.5825,3.6295,110314,0,Bank of America
6/19/1986,3.6107,3.6204,3.5825,3.6107,409858,0,Bank of America
6/20/1986,3.5921,3.6295,3.5637,3.6295,572784,0,Bank of America
6/23/1986,3.6107,3.6107,3.5544,3.5544,155288,0,Bank of America
6/24/1986,3.5544,3.5544,3.5163,3.5351,259663,0,Bank of America
6/25/1986,3.5163,3.6107,3.5163,3.5921,710255,0,Bank of America
6/26/1986,3.6107,3.6204,3.5351,3.5825,151045,0,Bank of America
6/27/1986,3.5921,3.5921,3.5163,3.5825,539690,0,Bank of America
6/30/1986,3.5921,3.5921,3.5825,3.5825,96736,0,Bank of America
7/1/1986,3.5921,3.6295,3.5825,3.6295,600785,0,Bank of America
7/2/1986,3.6107,3.6107,3.5351,3.5544,1119262,0,Bank of America
7/3/1986,3.5351,3.5351,3.5068,3.5351,362341,0,Bank of America
7/7/1986,3.5351,3.5351,3.4127,3.4408,356398,0,Bank of America
7/8/1986,3.4318,3.4318,3.3184,3.3749,1215154,0,Bank of America
7/9/1986,3.394,3.394,3.3376,3.3749,487927,0,Bank of America
7/10/1986,3.394,3.4224,3.3184,3.4127,274089,0,Bank of America
