Date,Open,High,Low,Close,Volume,OpenInt,Company
1/2/1970,0.7383,0.7538,0.7383,0.7538,83787,0,Chevron
1/5/1970,0.7538,0.7696,0.7538,0.7617,178527,0,Chevron
1/6/1970,0.7617,0.7617,0.746,0.746,88121,0,Chevron
1/7/1970,0.746,0.7538,0.7383,0.746,71820,0,Chevron
1/8/1970,0.7538,0.7696,0.7538,0.7617,101108,0,Chevron
1/9/1970,0.7617,0.7617,0.7617,0.7617,82008,0,Chevron
1/12/1970,0.7617,0.7696,0.7538,0.7617,53226,0,Chevron
1/13/1970,0.7617,0.7617,0.746,0.746,59340,0,Chevron
1/14/1970,0.746,0.746,0.7224,0.7307,179040,0,Chevron
1/15/1970,0.7307,0.7307,0.7224,0.7307,53481,0,Chevron
1/16/1970,0.7307,0.7307,0.7224,0.7307,67745,0,Chevron
1/19/1970,0.7307,0.7307,0.7224,0.7224,80989,0,Chevron
1/20/1970,0.7224,0.7224,0.7147,0.7147,93721,0,Chevron
1/21/1970,0.7147,0.7224,0.7067,0.7147,72331,0,Chevron
1/22/1970,0.7147,0.7224,0.7067,0.7147,101872,0,Chevron
1/23/1970,0.7147,0.7147,0.7067,0.7067,68001,0,Chevron
1/26/1970,0.7067,0.7067,0.691,0.7067,116645,0,Chevron
1/27/1970,0.7067,0.7067,0.6831,0.7067,86078,0,Chevron
1/28/1970,0.7067,0.7067,0.6753,0.6753,79460,0,Chevron
1/29/1970,0.6753,0.6831,0.6675,0.6753,110786,0,Chevron
1/30/1970,0.6753,0.6831,0.6598,0.6675,130139,0,Chevron
2/2/1970,0.6675,0.6753,0.6598,0.6675,149242,0,Chevron
2/3/1970,0.6675,0.6675,0.6598,0.6598,313765,0,Chevron
2/4/1970,0.6675,0.6753,0.6675,0.6753,85061,0,Chevron
2/5/1970,0.6753,0.6753,0.6675,0.6753,53739,0,Chevron
2/6/1970,0.6753,0.6753,0.6675,0.6753,43294,0,Chevron
2/9/1970,0.6753,0.6753,0.6675,0.6675,88884,0,Chevron
2/10/1970,0.6675,0.6753,0.636,0.636,158664,0,Chevron
2/11/1970,0.636,0.6518,0.6282,0.6518,139817,0,Chevron
2/12/1970,0.6518,0.6598,0.636,0.636,129884,0,Chevron
2/13/1970,0.636,0.6518,0.6282,0.636,78440,0,Chevron
2/16/1970,0.636,0.6439,0.636,0.6439,77678,0,Chevron
2/17/1970,0.6439,0.6518,0.636,0.6439,71820,0,Chevron
2/18/1970,0.6439,0.6598,0.6439,0.6598,163758,0,Chevron
2/19/1970,0.6598,0.6753,0.6598,0.6675,131160,0,Chevron
2/20/1970,0.6675,0.6753,0.6675,0.6753,185660,0,Chevron
2/24/1970,0.6753,0.6753,0.6675,0.6753,166050,0,Chevron
2/25/1970,0.6831,0.7067,0.6831,0.7067,94484,0,Chevron
2/26/1970,0.7067,0.7147,0.6989,0.7067,137270,0,Chevron
2/27/1970,0.7067,0.7147,0.7067,0.7067,198398,0,Chevron
