Date,Open,High,Low,Close,Volume,OpenInt,Company
11/21/1983,2.6806,2.6806,2.4905,2.6661,6181727,0,Verizon
11/22/1983,2.6661,2.7025,2.6514,2.6587,3283633,0,Verizon
11/23/1983,2.6587,2.6661,2.6298,2.6441,1418381,0,Verizon
11/25/1983,2.6441,2.6441,2.615,2.615,2181789,0,Verizon
11/28/1983,2.6003,2.6003,2.5345,2.5419,2915622,0,Verizon
11/29/1983,2.5345,2.5345,2.5051,2.5126,2007638,0,Verizon
11/30/1983,2.5126,2.5345,2.5051,2.5126,2983527,0,Verizon
12/1/1983,2.5126,2.5345,2.4978,2.5126,7694302,0,Verizon
12/2/1983,2.5126,2.5419,2.4905,2.5051,2171933,0,Verizon
12/5/1983,2.5051,2.5126,2.476,2.476,1335138,0,Verizon
12/6/1983,2.476,2.4978,2.476,2.4905,2680136,0,Verizon
12/7/1983,2.4905,2.5345,2.4905,2.5126,5979099,0,Verizon
12/8/1983,2.5126,2.5271,2.5051,2.5199,9062297,0,Verizon
12/9/1983,2.5199,2.5345,2.5199,2.5199,6430356,0,Verizon
12/12/1983,2.5199,2.5345,2.5199,2.5271,3490640,0,Verizon
12/13/1983,2.5345,2.5713,2.5345,2.5639,8240842,0,Verizon
12/14/1983,2.5639,2.5858,2.5639,2.5713,3104010,0,Verizon
12/15/1983,2.5713,2.5713,2.5565,2.5565,2860854,0,Verizon
12/16/1983,2.5565,2.5784,2.5565,2.5713,3019671,0,Verizon
12/19/1983,2.5713,2.5713,2.5639,2.5639,1983543,0,Verizon
12/20/1983,2.5639,2.5713,2.5419,2.5491,2385509,0,Verizon
12/21/1983,2.5491,2.5565,2.5199,2.5345,2383314,0,Verizon
12/22/1983,2.5271,2.5271,2.4978,2.4978,5997721,0,Verizon
12/23/1983,2.4978,2.5051,2.476,2.483,2879475,0,Verizon
12/27/1983,2.476,2.476,2.4686,2.4686,3699836,0,Verizon
12/28/1983,2.4686,2.4905,2.4686,2.4905,5639567,0,Verizon
12/29/1983,2.4905,2.4978,2.483,2.483,3692169,0,Verizon
12/30/1983,2.483,2.4905,2.4686,2.476,2148927,0,Verizon
1/3/1984,2.4905,2.5491,2.4905,2.5491,2430415,0,Verizon
1/4/1984,2.5639,2.6661,2.5639,2.6221,4473098,0,Verizon
1/5/1984,2.6441,2.6952,2.6441,2.6441,4628630,0,Verizon
1/6/1984,2.637,2.7098,2.637,2.6952,5550849,0,Verizon
1/9/1984,2.6952,2.6952,2.6587,2.6587,2205883,0,Verizon
1/10/1984,2.6587,2.6661,2.6514,2.6661,1935351,0,Verizon
1/11/1984,2.6661,2.6806,2.6661,2.6733,1549810,0,Verizon
1/12/1984,2.6733,2.6952,2.6661,2.6952,1750246,0,Verizon
1/13/1984,2.7098,2.739,2.7098,2.7098,3876176,0,Verizon
1/16/1984,2.7318,2.7903,2.7318,2.739,3015293,0,Verizon
1/17/1984,2.7465,2.7684,2.7465,2.761,2649469,0,Verizon
1/18/1984,2.761,2.7684,2.7465,2.7684,3606742,0,Verizon
1/19/1984,2.7684,2.7829,2.7537,2.7684,2232170,0,Verizon
1/20/1984,2.7684,2.7903,2.7684,2.7903,2571702,0,Verizon
1/23/1984,2.7903,2.7903,2.7755,2.7755,1428237,0,Verizon
1/24/1984,2.7755,2.7755,2.7684,2.7684,1444664,0,Verizon
1/25/1984,2.7684,2.7903,2.7684,2.7755,2107307,0,Verizon
1/26/1984,2.7755,2.7829,2.761,2.761,3622075,0,Verizon
1/27/1984,2.761,2.8341,2.761,2.7975,3702024,0,Verizon
1/30/1984,2.7975,2.8048,2.7755,2.7903,2928763,0,Verizon
1/31/1984,2.7903,2.8048,2.7829,2.8048,1993400,0,Verizon
2/1/1984,2.8048,2.8267,2.7829,2.812,2162070,0,Verizon
2/2/1984,2.812,2.8413,2.7975,2.8341,3916698,0,Verizon
2/3/1984,2.8341,2.8486,2.7903,2.7903,3240915,0,Verizon
2/6/1984,2.7903,2.7903,2.761,2.7755,1842255,0,Verizon
